mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	18				
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	19				
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21				
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	5
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	22				
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	#	
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	23				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	24				
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	25				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	26				
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	27				
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6	
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	28				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29				
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/8	6	
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	30				
5	5	39/2	39/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0					1/8	5	
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	31				
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	32				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	33				
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	34				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	35				
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	36				
6	6	41/2	41/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0					1/8	5	
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	37				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	38				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	#	
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	39				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	40				
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	41				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	42				
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	43				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	44				
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	45				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	46				
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	47				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48				
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	49				
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	50				
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	51				
8	8	61/2	61/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0					1/8	_	
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	52				
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	53				
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	54				
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	55				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	56				
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	57				
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	#	
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	58				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	59				
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	60				
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	61				
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	62				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	63				
10	10	36	36	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	64				
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	5	
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	65				
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	5	
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	66				
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	67				
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	68				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	69				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	70				
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	71				
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	73				
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	74				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	75				
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	76				
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	77				
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	78				
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	79				
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	80				
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	81				
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	82				
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	83				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	84				
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	85				
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	#	
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	86				
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	87				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	88				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90				
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	91				
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	6	
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	92				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	93				
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	94				
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	95				
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	96				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	97				
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5	
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	98				
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	99				
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	#	
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	100				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	101				
16	16	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	102				
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	103				
16	16	60	60	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	104				
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	105				
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	106				
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	107				
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	108				
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	109				
17	17	64	64	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	5	
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	110				
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	111				
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	#	
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	112				
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	113				
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	114				
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	115				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	116				
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	117				
18	18	69	69	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	#	
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	118				
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	119				
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	120				
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	121				
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	122				
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	123				
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	6	
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	124				
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	125				
20	20	76	76	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	126				
20	20	77	77	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	127				
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	128				
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
20	20	76	76	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	129				
20	20	77	77	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	130				
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	131				
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	132				
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	133				
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	134				
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	135				
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	h	
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	136				
21	21	83	83	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/8	#	
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	137				
21	21	167/2	167/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0					1/8	_	
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	138				
22	22	84	84	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	139				
22	22	85	85	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	140				
22	22	86	86	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	141				
22	22	84	84	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6\	
22	22	84	84	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	142				
22	22	85	85	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	#	
22	22	85	85	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	143				
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	144				
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	145				
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	146				
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	147				
23	23	89	89	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	h	
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	148				
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	5	
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	149				
23	23	91	91	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	150				
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	151				
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	152				
24	24	94	94	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	153				
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	154				
24	24	92	92	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	155				
24	24	93	93	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	h	
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	156				
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	157				
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	158				
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	159				
25	25	97	97	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	160				
25	25	98	98	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	161				
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	162				
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	163				
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	164				
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	165				
25	25	99	99	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	#	
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	166				
26	26	100	100	0.0	0	0	StaffText	4/4	1	1	0				3mal repetiert			
26	26	100	100	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	167				
26	26	103	103	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	168				
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	169				
26	26	103	103	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	170				
27	27	104	104	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	171				
27	27	105	105	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	172				
27	27	106	106	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173				
27	27	107	107	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	174				
27	27	104	104	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	175				
27	27	105	105	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	5	
27	27	105	105	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	176				
27	27	106	106	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	177				
27	27	213/2	213/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0					1/8	5	
27	27	213/2	213/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	178				
27	27	107	107	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	179				
28	28	108	108	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	180				
28	28	109	109	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	181				
28	28	110	110	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	182				
28	28	108	108	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	183				
28	28	109	109	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	184				
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	185				
29	29	113	113	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	186				
29	29	114	114	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	187				
29	29	115	115	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	188				
29	29	113	113	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	189				
29	29	114	114	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	5	
29	29	114	114	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	190				
29	29	115	115	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	191				
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	192				
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	193				
30	30	118	118	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	194				
30	30	119	119	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	195				
30	30	116	116	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	196				
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	197				
30	30	118	118	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	198				
30	30	119	119	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	#	
30	30	119	119	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	199				
31	31	120	120	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	200				
31	31	123	123	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	201				
31	31	120	120	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	202				
31	31	123	123	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	
31	31	123	123	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	203				
32	32	124	124	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	204				
32	32	125	125	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	205				
32	32	126	126	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	206				
32	32	127	127	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	207				
32	32	124	124	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	208				
32	32	125	125	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	7	#
32	32	125	125	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	209				
32	32	126	126	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	210				
32	32	253/2	253/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0					1/8	5	
32	32	253/2	253/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	211				
32	32	127	127	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	212				
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	213				
33	33	129	129	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	214				
33	33	130	130	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	215				
33	33	128	128	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
33	33	128	128	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	216				
33	33	129	129	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	217				
33	33	130	130	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	218				
34	34	133	133	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	219				
34	34	134	134	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	220				
34	34	135	135	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	221				
34	34	133	133	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	222				
34	34	134	134	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	223				
34	34	135	135	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	224				
35	35	136	136	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	225				
35	35	137	137	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	226				
35	35	138	138	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	227				
35	35	139	139	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	228				
35	35	136	136	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	229				
35	35	273/2	273/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0					1/8	_	
35	35	273/2	273/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	230				
35	35	137	137	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6	
35	35	137	137	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	231				
35	35	138	138	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	232				
35	35	139	139	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	#	
35	35	139	139	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	233				
36	36	140	140	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	234				
36	36	143	143	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	235				
36	36	140	140	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	236				
36	36	143	143	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	6	
36	36	143	143	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	237				
37	37	144	144	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	238				
37	37	145	145	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	239				
37	37	146	146	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	240				
37	37	147	147	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	241				
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	242				
37	37	145	145	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/8	6	
37	37	145	145	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	243				
37	37	291/2	291/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0					1/8	5	
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	244				
37	37	146	146	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	245				
37	37	293/2	293/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0					1/8	5	
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	246				
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	247				
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	248				
38	38	149	149	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	249				
38	38	150	150	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	250				
38	38	148	148	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	#	
38	38	148	148	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	251				
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	252				
38	38	150	150	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	253				
39	39	153	153	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	254				
39	39	154	154	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	255				
39	39	155	155	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	256				
39	39	153	153	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	257				
39	39	154	154	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	6	
39	39	154	154	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	258				
39	39	155	155	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	259				
40	40	156	156	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	260				
40	40	313/2	313/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	261				
40	40	157	157	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	262				
40	40	158	158	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	263				
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	264				
40	40	156	156	0.0	0	0	FiguredBass	4/4	2	1	0					1/8	5	
40	40	156	156	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	265				
40	40	313/2	313/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0					1/8	2	
40	40	157	157	0.0	1/4	1/4	FiguredBass	4/4	2	1	0					1/4	6	
40	40	157	157	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	266				
40	40	158	158	0.0	1/2	1/2	FiguredBass	4/4	2	1	0					1/4	6	4
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	267				
40	40	159	159	0.0	3/4	3/4	FiguredBass	4/4	2	1	0					1/4	5	3
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	268				
